PDF File,Status,ROI,Signature_box,Error Message
183175.pdf,Success,"[369, 541, 0, 167]","[[362.6454162597656, 113.26899719238281, 489.6675109863281, 135.09388732910156]]",Processed successfully
184210.pdf,Failed,"[370, 552, 0, 168]",NA,Signature not detected
184341.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
186602.pdf,Failed,"[511, 547, 0, 170]",NA,Signature not detected
188387.pdf,Success,"[365, 543, 0, 168]","[[382.3913269042969, 108.14395141601562, 516.6801147460938, 142.79827880859375]]",Processed successfully
188890.pdf,Success,"[364, 549, 0, 167]","[[390.4891357421875, 108.68636322021484, 439.2950744628906, 140.37338256835938], [515.8089599609375, 5.834653854370117, 528.8072509765625, 23.313636779785156], [414.4301452636719, 150.59266662597656, 473.7275390625, 166.48593139648438], [363.3835144042969, 151.42050170898438, 478.93914794921875, 168.08694458007812]]",Processed successfully
189105.pdf,Success,"[397, 543, 0, 169]","[[392.28717041015625, 111.78953552246094, 502.74005126953125, 135.68756103515625]]",Processed successfully
189333.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
190504.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
191233.pdf,Success,"[379, 545, 0, 170]","[[377.54736328125, 111.54019165039062, 467.18353271484375, 138.41867065429688]]",Processed successfully
191908.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
192297.pdf,Success,"[369, 549, 0, 172]","[[435.11566162109375, 109.20707702636719, 493.6778259277344, 139.2684326171875], [392.8782043457031, 112.00594329833984, 496.7778625488281, 143.72219848632812]]",Processed successfully
193201.pdf,Success,"[365, 543, 0, 165]","[[384.12225341796875, 116.56047821044922, 414.65057373046875, 133.64382934570312]]",Processed successfully
193471.pdf,Success,"[336, 542, 0, 149]","[[354.70806884765625, 116.05775451660156, 482.1652526855469, 138.221923828125]]",Processed successfully
193633.pdf,Success,"[377, 542, 0, 168]","[[376.59490966796875, 116.2671890258789, 497.6187438964844, 138.56451416015625]]",Processed successfully
193659.pdf,Success,"[382, 543, 0, 170]","[[378.07373046875, 107.57811737060547, 461.405029296875, 138.54151916503906]]",Processed successfully
194299.pdf,Success,"[380, 543, 0, 165]","[[376.7450256347656, 97.12969970703125, 485.96533203125, 149.34083557128906]]",Processed successfully
195017.pdf,Failed,"[334, 543, 0, 149]",NA,Signature not detected
195619.pdf,Success,"[373, 543, 0, 169]","[[393.9501647949219, 147.76385498046875, 475.8415222167969, 169.0365447998047], [373.4223327636719, 120.47366333007812, 451.01263427734375, 138.3131103515625]]",Processed successfully
195889.pdf,Failed,"[337, 543, 0, 149]",NA,Signature not detected
195936.pdf,Success,"[365, 543, 0, 167]","[[382.8720397949219, 103.7663345336914, 472.9683532714844, 138.15023803710938], [366.14483642578125, 146.87449645996094, 456.5316162109375, 166.85919189453125]]",Processed successfully
196063.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
196225.pdf,Success,"[368, 540, 0, 168]","[[362.5186767578125, 102.34996795654297, 509.0008544921875, 138.06227111816406]]",Processed successfully
196372.pdf,Success,"[383, 544, 0, 169]","[[382.6847839355469, 151.28297424316406, 425.6623229980469, 169.5356903076172], [379.40966796875, 123.90692138671875, 518.4601440429688, 139.8788604736328], [382.13360595703125, 153.28465270996094, 470.49505615234375, 170.30154418945312]]",Processed successfully
196437.pdf,Success,"[380, 545, 0, 165]","[[380.00274658203125, 107.58964538574219, 465.5204162597656, 134.77040100097656]]",Processed successfully
196893.pdf,Success,"[377, 543, 0, 168]","[[374.36041259765625, 112.94671630859375, 488.52630615234375, 133.80703735351562]]",Processed successfully
