PDF File,Status,ROI,Error Message
255269.pdf,Success,"[375, 552, 0, 184]",Processed successfully
255279.pdf,Success,"[364, 543, 0, 215]",Processed successfully
255378.pdf,Success,"[374, 544, 0, 186]",Processed successfully
255565.pdf,Success,"[365, 544, 0, 184]",Processed successfully
255587.pdf,Failed,NA,ROI not found or OCR error
255597.pdf,Success,"[363, 542, 0, 184]",Processed successfully
255605.pdf,Success,"[401, 612, 0, 189]",Processed successfully
255641.pdf,Success,"[366, 543, 0, 190]",Processed successfully
255663.pdf,Failed,NA,ROI not found or OCR error
255699.pdf,Success,"[366, 545, 0, 187]",Processed successfully
255744.pdf,Failed,NA,ROI not found or OCR error
255779.pdf,Success,"[367, 546, 0, 184]",Processed successfully
255793.pdf,Success,"[380, 546, 0, 184]",Processed successfully
255794.pdf,Failed,NA,ROI not found or OCR error
255851.pdf,Failed,NA,ROI not found or OCR error
255875.pdf,Success,"[363, 539, 0, 183]",Processed successfully
255881.pdf,Failed,NA,ROI not found or OCR error
255884.pdf,Success,"[365, 543, 0, 183]",Processed successfully
255887.pdf,Failed,NA,ROI not found or OCR error
255897.pdf,Success,"[366, 544, 0, 185]",Processed successfully
255905.pdf,Failed,NA,ROI not found or OCR error
255908.pdf,Failed,NA,ROI not found or OCR error
255917.pdf,Failed,NA,ROI not found or OCR error
255923.pdf,Success,"[365, 544, 0, 183]",Processed successfully
255928.pdf,Failed,NA,ROI not found or OCR error
255964.pdf,Success,"[365, 543, 0, 189]",Processed successfully
255979.pdf,Success,"[364, 543, 0, 181]",Processed successfully
256012.pdf,Failed,NA,ROI not found or OCR error
256036.pdf,Failed,NA,ROI not found or OCR error
256043.pdf,Failed,NA,ROI not found or OCR error
256087.pdf,Failed,NA,ROI not found or OCR error
256105.pdf,Success,"[443, 545, 0, 185]",Processed successfully
256158.pdf,Success,"[366, 545, 0, 187]",Processed successfully
256201.pdf,Success,"[364, 543, 0, 184]",Processed successfully
256205.pdf,Failed,NA,ROI not found or OCR error
256236.pdf,Success,"[368, 549, 0, 186]",Processed successfully
256329.pdf,Success,"[375, 541, 0, 188]",Processed successfully
256333.pdf,Success,"[365, 544, 0, 185]",Processed successfully
256499.pdf,Failed,NA,ROI not found or OCR error
256593.pdf,Failed,NA,ROI not found or OCR error
256597.pdf,Success,"[368, 546, 0, 187]",Processed successfully
256620.pdf,Failed,NA,ROI not found or OCR error
256684.pdf,Success,"[366, 545, 0, 185]",Processed successfully
256721.pdf,Success,"[379, 544, 0, 186]",Processed successfully
256766.pdf,Success,"[364, 543, 0, 185]",Processed successfully
256835.pdf,Success,"[364, 542, 0, 186]",Processed successfully
256865.pdf,Failed,NA,ROI not found or OCR error
256954.pdf,Success,"[446, 543, 0, 184]",Processed successfully
256986.pdf,Failed,NA,ROI not found or OCR error
257010.pdf,Success,"[374, 543, 0, 183]",Processed successfully
257037.pdf,Failed,NA,ROI not found or OCR error
257085.pdf,Failed,NA,ROI not found or OCR error
